,AF00,AF01,AF02,AF03,AF04,AF05,AF06,AF07,AF08,AF09,AF10,AF11,AF12,AF13,AF14,AF15
PC7,-,-,TIM3_CH2,TIM8_CH2,-,-,I2S3_MCK,-,USART6_RX,-,-,-,SDIO_D7,DCMI_D1,-,EVENT OUT
PC8,-,-,TIM3_CH3,TIM8_CH3,-,-,-,-,USART6_CK,-,-,-,SDIO_D0,DCMI_D2,-,EVENT OUT
PC9,MCO_2,-,TIM3_CH4,TIM8_CH4,I2C3_SDA,I2S_CKIN,I2S3_CKIN,-,-,-,-,-,SDIO_D1,DCMI_D3,-,EVENT OUT
PC10,-,-,-,-,-,-,SPI3_SCK/I2S3_SCK,USART3_TX,UART4_TX,-,-,-,SDIO_D2,DCMI_D8,-,EVENT OUT
PC11,-,-,-,-,-,-,SPI3_MISO,USART3_RX,UART4_RX,-,-,-,SDIO_D3,DCMI_D4,-,EVENT OUT
PC12,-,-,-,-,-,-,SPI3_MOSI/I2S3_SD,USART3_CK,UART5_TX,-,-,-,SDIO_CK,DCMI_D9,-,EVENT OUT
PC13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PC14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PC15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PD0,-,-,-,-,-,-,-,-,-,CAN1_RX,-,-,FSMC_D2,-,-,EVENT OUT
PD1,-,-,-,-,-,-,-,-,-,CAN1_TX,-,-,FSMC_D3,-,-,EVENT OUT
PD2,-,-,TIM3_ETR,-,-,-,-,-,UART5_RX,-,-,-,SDIO_CMD,DCMI_D11,-,EVENT OUT
PD3,-,-,-,-,-,-,-,USART2_CTS,-,-,-,-,FSMC_CLK,-,-,EVENT OUT
PD4,-,-,-,-,-,-,-,USART2_RTS,-,-,-,-,FSMC_NOE,-,-,EVENT OUT
PD5,-,-,-,-,-,-,-,USART2_TX,-,-,-,-,FSMC_NWE,-,-,EVENT OUT
PD6,-,-,-,-,-,-,-,USART2_RX,-,-,-,-,FSMC_NWAIT,-,-,EVENT OUT
PD7,-,-,-,-,-,-,-,USART2_CK,-,-,-,-,FSMC_NE1/FSMC_NCE2,-,-,EVENT OUT
PD8,-,-,-,-,-,-,-,USART3_TX,-,-,-,-,FSMC_D13,-,-,EVENT OUT
PD9,-,-,-,-,-,-,-,USART3_RX,-,-,-,-,FSMC_D14,-,-,EVENT OUT
PD10,-,-,-,-,-,-,-,USART3_CK,-,-,-,-,FSMC_D15,-,-,EVENT OUT
PD11,-,-,-,-,-,-,-,USART3_CTS,-,-,-,-,FSMC_A16,-,-,EVENT OUT
PD12,-,-,TIM4_CH1,-,-,-,-,USART3_RTS,-,-,-,-,FSMC_A17,-,-,EVENT OUT
PD13,-,-,TIM4_CH2,-,-,-,-,-,-,-,-,-,FSMC_A18,-,-,EVENT OUT
PD14,-,-,TIM4_CH3,-,-,-,-,-,-,-,-,-,FSMC_D0,-,-,EVENT OUT
PD15,-,-,TIM4_CH4,-,-,-,-,-,-,-,-,-,FSMC_D1,-,-,EVENT OUT
PE0,-,-,TIM4_ETR,-,-,-,-,-,-,-,-,-,FSMC_NBL0,DCMI_D2,-,EVENT OUT
PE1,-,-,-,-,-,-,-,-,-,-,-,-,FSMC_NBL1,DCMI_D3,-,EVENT OUT
PE2,TRACECLK,-,-,-,-,-,-,-,-,-,-,ETH _MII_TXD3,FSMC_A23,-,-,EVENT OUT
PE3,TRACED0,-,-,-,-,-,-,-,-,-,-,-,FSMC_A19,-,-,EVENT OUT
PE4,TRACED1,-,-,-,-,-,-,-,-,-,-,-,FSMC_A20,DCMI_D4,-,EVENT OUT
PE5,TRACED2,-,-,TIM9_CH1,-,-,-,-,-,-,-,-,FSMC_A21,DCMI_D6,-,EVENT OUT
PE6,TRACED3,-,-,TIM9_CH2,-,-,-,-,-,-,-,-,FSMC_A22,DCMI_D7,-,EVENT OUT
PE7,-,TIM1_ETR,-,-,-,-,-,-,-,-,-,-,FSMC_D4,-,-,EVENT OUT
PE8,-,TIM1_CH1N,-,-,-,-,-,-,-,-,-,-,FSMC_D5,-,-,EVENT OUT
PE9,-,TIM1_CH1,-,-,-,-,-,-,-,-,-,-,FSMC_D6,-,-,EVENT OUT
PE10,-,TIM1_CH2N,-,-,-,-,-,-,-,-,-,-,FSMC_D7,-,-,EVENT OUT
PE11,-,TIM1_CH2,-,-,-,-,-,-,-,-,-,-,FSMC_D8,-,-,EVENT OUT
PE12,-,TIM1_CH3N,-,-,-,-,-,-,-,-,-,-,FSMC_D9,-,-,EVENT OUT
PE13,-,TIM1_CH3,-,-,-,-,-,-,-,-,-,-,FSMC_D10,-,-,EVENT OUT
PE14,-,TIM1_CH4,-,-,-,-,-,-,-,-,-,-,FSMC_D11,-,-,EVENT OUT
PE15,-,TIM1_BKIN,-,-,-,-,-,-,-,-,-,-,FSMC_D12,-,-,EVENT OUT
PF0,-,-,-,-,I2C2_SDA,-,-,-,-,-,-,-,FSMC_A0,-,-,EVENT OUT
PF1,-,-,-,-,I2C2_SCL,-,-,-,-,-,-,-,FSMC_A1,-,-,EVENT OUT
PF2,-,-,-,-,I2C2_SMBA,-,-,-,-,-,-,-,FSMC_A2,-,-,EVENT OUT
PF3,-,-,-,-,-,-,-,-,-,-,-,-,FSMC_A3,-,-,EVENT OUT
PF4,-,-,-,-,-,-,-,-,-,-,-,-,FSMC_A4,-,-,EVENT OUT
PF5,-,-,-,-,-,-,-,-,-,-,-,-,FSMC_A5,-,-,EVENT OUT
PF6,-,-,-,TIM10_CH1,-,-,-,-,-,-,-,-,FSMC_NIORD,-,-,EVENT OUT
PF7,-,-,-,TIM11_CH1,-,-,-,-,-,-,-,-,FSMC_NREG,-,-,EVENT OUT
PF8,-,-,-,-,-,-,-,-,-,TIM13_CH1,-,-,FSMC_NIOWR,-,-,EVENT OUT
PF9,-,-,-,-,-,-,-,-,-,TIM14_CH1,-,-,FSMC_CD,-,-,EVENT OUT
PF10,-,-,-,-,-,-,-,-,-,-,-,-,FSMC_INTR,-,-,EVENT OUT
PF11,-,-,-,-,-,-,-,-,-,-,-,-,-,DCMI_D12,-,EVENT OUT
PF12,-,-,-,-,-,-,-,-,-,-,-,-,FSMC_A6,-,-,EVENT OUT
PF13,-,-,-,-,-,-,-,-,-,-,-,-,FSMC_A7,-,-,EVENT OUT
PF14,-,-,-,-,-,-,-,-,-,-,-,-,FSMC_A8,-,-,EVENT OUT
PF15,-,-,-,-,-,-,-,-,-,-,-,-,FSMC_A9,-,-,EVENT OUT
PG0,-,-,-,-,-,-,-,-,-,-,-,-,FSMC_A10,-,-,EVENT OUT
PG1,-,-,-,-,-,-,-,-,-,-,-,-,FSMC_A11,-,-,EVENT OUT
PG2,-,-,-,-,-,-,-,-,-,-,-,-,FSMC_A12,-,-,EVENT OUT
PG3,-,-,-,-,-,-,-,-,-,-,-,-,FSMC_A13,-,-,EVENT OUT
PG4,-,-,-,-,-,-,-,-,-,-,-,-,FSMC_A14,-,-,EVENT OUT
PG5,-,-,-,-,-,-,-,-,-,-,-,-,FSMC_A15,-,-,EVENT OUT
PG6,-,-,-,-,-,-,-,-,-,-,-,-,FSMC_INT2,-,-,EVENT OUT
PG7,-,-,-,-,-,-,-,-,USART6_CK,-,-,-,FSMC_INT3,-,-,EVENT OUT
PG8,-,-,-,-,-,-,-,-,USART6_RTS,-,-,ETH _PPS_OUT,-,-,-,EVENT OUT
PG9,-,-,-,-,-,-,-,-,USART6_RX,-,-,-,FSMC_NE2/FSMC_NCE3,-,-,EVENT OUT
PG10,-,-,-,-,-,-,-,-,-,-,-,-,FSMC_NCE4_1/FSMC_NE3,-,-,EVENT OUT
PG11,-,-,-,-,-,-,-,-,-,-,-,ETH _MII_TX_EN/ETH_RMII_TX_EN,FSMC_NCE4_2,-,-,EVENT OUT
PG12,-,-,-,-,-,-,-,-,USART6_RTS,-,-,-,FSMC_NE4,-,-,EVENT OUT
PG13,-,-,-,-,-,-,-,-,UART6_CTS,-,-,ETH _MII_TXD0/ETH _RMII_TXD0,FSMC_A24,-,-,EVENT OUT
PG14,-,-,-,-,-,-,-,-,USART6_TX,-,-,ETH _MII_TXD1/ETH _RMII_TXD1,FSMC_A25,-,-,EVENT OUT
PG15,-,-,-,-,-,-,-,-,USART6_CTS,-,-,-,-,DCMI_D13,-,EVENT OUT
PH0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PH1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PH2,-,-,-,-,-,-,-,-,-,-,-,ETH _MII_CRS,-,-,-,EVENT OUT
PH3,-,-,-,-,-,-,-,-,-,-,-,ETH _MII_COL,-,-,-,EVENT OUT
PH4,-,-,-,-,I2C2_SCL,-,-,-,-,-,OTG_HS_ULPI_NXT,-,-,-,-,EVENT OUT
PH5,-,-,-,-,I2C2_SDA,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PH6,-,-,-,-,I2C2_SMBA,-,-,-,-,TIM12_CH1,-,ETH _MII_RXD2,-,-,-,EVENT OUT
PH7,-,-,-,-,I2C3_SCL,-,-,-,-,-,-,ETH _MII_RXD3,-,-,-,EVENT OUT
PH8,-,-,-,-,I2C3_SDA,-,-,-,-,-,-,-,-,DCMI_HSYNC,-,EVENT OUT
PH9,-,-,-,-,I2C3_SMBA,-,-,-,-,TIM12_CH2,-,-,-,DCMI_D0,-,EVENT OUT
PH10,-,-,TIM5_CH1,-,-,-,-,-,-,-,-,-,-,DCMI_D1,-,EVENT OUT
PH11,-,-,TIM5_CH2,-,-,-,-,-,-,-,-,-,-,DCMI_D2,-,EVENT OUT
PH12,-,-,TIM5_CH3,-,-,-,-,-,-,-,-,-,-,DCMI_D3,-,EVENT OUT
PH13,-,-,-,TIM8_CH1N,-,-,-,-,-,CAN1_TX,-,-,-,-,-,EVENT OUT
PH14,-,-,-,TIM8_CH2N,-,-,-,-,-,-,-,-,-,DCMI_D4,-,EVENT OUT
PH15,-,-,-,TIM8_CH3N,-,-,-,-,-,-,-,-,-,DCMI_D11,-,EVENT OUT
PI0,-,-,TIM5_CH4,-,-,SPI2_NSS/I2S2_WS,-,-,-,-,-,-,-,DCMI_D13,-,EVENT OUT
PI1,-,-,-,-,-,SPI2_SCK/I2S2_SCK,-,-,-,-,-,-,-,DCMI_D8,-,EVENT OUT
PI2,-,-,-,TIM8_CH4,-,SPI2_MISO,-,-,-,-,-,-,-,DCMI_D9,-,EVENT OUT
PI3,-,-,-,TIM8_ETR,-,SPI2_MOSI/I2S2_SD,-,-,-,-,-,-,-,DCMI_D10,-,EVENT OUT
PI4,-,-,-,TIM8_BKIN,-,-,-,-,-,-,-,-,-,DCMI_D5,-,EVENT OUT
PI5,-,-,-,TIM8_CH1,-,-,-,-,-,-,-,-,-,DCMI_VSYNC,-,EVENT OUT
PI6,-,-,-,TIM8_CH2,-,-,-,-,-,-,-,-,-,DCMI_D6,-,EVENT OUT
PI7,-,-,-,TIM8_CH3,-,-,-,-,-,-,-,-,-,DCMI_D7,-,EVENT OUT
PI8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PI9,-,-,-,-,-,-,-,-,-,CAN1_RX,-,-,-,-,-,EVENT OUT
PI10,-,-,-,-,-,-,-,-,-,-,-,ETH _MII_RX_ER,-,-,-,EVENT OUT
PI11,-,-,-,-,-,-,-,-,-,-,OTG_HS_ULPI_DIR,-,-,-,-,EVENT OUT
